momentum	learn_rate	acuracia	epochs	p_train
0.1	0.1	1.0	300	0.75
0.1	0.1	1.0	300	0.75
0.1	0.1	1.0	300	0.75
0.1	0.1	1.0	300	0.75
0.1	0.1	1.0	300	0.75
0.1	0.1	1.0	300	0.75
0.1	0.1	1.0	300	0.75
0.1	0.1	1.0	300	0.75
0.1	0.1	1.0	300	0.75
0.1	0.1	1.0	300	0.75
0.15	0.1	1.0	300	0.75
0.15	0.1	1.0	300	0.75
0.15	0.1	1.0	300	0.75
0.15	0.1	1.0	300	0.75
0.15	0.1	1.0	300	0.75
0.15	0.1	1.0	300	0.75
0.15	0.1	1.0	300	0.75
0.15	0.1	1.0	300	0.75
0.15	0.1	1.0	300	0.75
0.15	0.1	1.0	300	0.75
0.2	0.1	1.0	300	0.75
0.2	0.1	1.0	300	0.75
0.2	0.1	1.0	300	0.75
0.2	0.1	1.0	300	0.75
0.2	0.1	1.0	300	0.75
0.2	0.1	1.0	300	0.75
0.2	0.1	1.0	300	0.75
0.2	0.1	1.0	300	0.75
0.2	0.1	1.0	300	0.75
0.2	0.1	1.0	300	0.75
0.1	0.15	0.9736842105263158	300	0.75
0.1	0.15	0.9736842105263158	300	0.75
0.1	0.15	1.0	300	0.75
0.1	0.15	1.0	300	0.75
0.1	0.15	1.0	300	0.75
0.1	0.15	1.0	300	0.75
0.1	0.15	1.0	300	0.75
0.1	0.15	1.0	300	0.75
0.1	0.15	1.0	300	0.75
0.1	0.15	0.9736842105263158	300	0.75
0.15	0.15	1.0	300	0.75
0.15	0.15	1.0	300	0.75
0.15	0.15	1.0	300	0.75
0.15	0.15	1.0	300	0.75
0.15	0.15	1.0	300	0.75
0.15	0.15	1.0	300	0.75
0.15	0.15	1.0	300	0.75
0.15	0.15	1.0	300	0.75
0.15	0.15	1.0	300	0.75
0.15	0.15	0.9736842105263158	300	0.75
0.2	0.15	1.0	300	0.75
0.2	0.15	1.0	300	0.75
0.2	0.15	1.0	300	0.75
0.2	0.15	1.0	300	0.75
0.2	0.15	1.0	300	0.75
0.2	0.15	1.0	300	0.75
0.2	0.15	1.0	300	0.75
0.2	0.15	1.0	300	0.75
0.2	0.15	1.0	300	0.75
0.2	0.15	0.9736842105263158	300	0.75
0.1	0.2	1.0	300	0.75
0.1	0.2	1.0	300	0.75
0.1	0.2	1.0	300	0.75
0.1	0.2	1.0	300	0.75
0.1	0.2	1.0	300	0.75
0.1	0.2	1.0	300	0.75
0.1	0.2	1.0	300	0.75
0.1	0.2	1.0	300	0.75
0.1	0.2	1.0	300	0.75
0.1	0.2	1.0	300	0.75
0.15	0.2	1.0	300	0.75
0.15	0.2	1.0	300	0.75
0.15	0.2	1.0	300	0.75
0.15	0.2	1.0	300	0.75
0.15	0.2	1.0	300	0.75
0.15	0.2	1.0	300	0.75
0.15	0.2	1.0	300	0.75
0.15	0.2	1.0	300	0.75
0.15	0.2	1.0	300	0.75
0.15	0.2	1.0	300	0.75
0.2	0.2	1.0	300	0.75
0.2	0.2	1.0	300	0.75
0.2	0.2	1.0	300	0.75
0.2	0.2	1.0	300	0.75
0.2	0.2	1.0	300	0.75
0.2	0.2	0.9736842105263158	300	0.75
0.2	0.2	1.0	300	0.75
0.2	0.2	1.0	300	0.75
0.2	0.2	1.0	300	0.75
0.2	0.2	1.0	300	0.75
0.1	0.1	1.0	300	0.8
0.1	0.1	1.0	300	0.8
0.1	0.1	1.0	300	0.8
0.1	0.1	1.0	300	0.8
0.1	0.1	1.0	300	0.8
0.1	0.1	1.0	300	0.8
0.1	0.1	1.0	300	0.8
0.1	0.1	1.0	300	0.8
0.1	0.1	1.0	300	0.8
0.1	0.1	1.0	300	0.8
0.15	0.1	1.0	300	0.8
0.15	0.1	1.0	300	0.8
0.15	0.1	1.0	300	0.8
0.15	0.1	1.0	300	0.8
0.15	0.1	1.0	300	0.8
0.15	0.1	1.0	300	0.8
0.15	0.1	1.0	300	0.8
0.15	0.1	1.0	300	0.8
0.15	0.1	1.0	300	0.8
0.15	0.1	1.0	300	0.8
0.2	0.1	1.0	300	0.8
0.2	0.1	1.0	300	0.8
0.2	0.1	1.0	300	0.8
0.2	0.1	1.0	300	0.8
0.2	0.1	1.0	300	0.8
0.2	0.1	1.0	300	0.8
0.2	0.1	1.0	300	0.8
0.2	0.1	1.0	300	0.8
0.2	0.1	1.0	300	0.8
0.2	0.1	1.0	300	0.8
0.1	0.15	1.0	300	0.8
0.1	0.15	1.0	300	0.8
0.1	0.15	1.0	300	0.8
0.1	0.15	1.0	300	0.8
0.1	0.15	0.967741935483871	300	0.8
0.1	0.15	1.0	300	0.8
0.1	0.15	1.0	300	0.8
0.1	0.15	1.0	300	0.8
0.1	0.15	1.0	300	0.8
0.1	0.15	1.0	300	0.8
0.15	0.15	1.0	300	0.8
0.15	0.15	1.0	300	0.8
0.15	0.15	1.0	300	0.8
0.15	0.15	0.967741935483871	300	0.8
0.15	0.15	1.0	300	0.8
0.15	0.15	1.0	300	0.8
0.15	0.15	1.0	300	0.8
