momentum	learn_rate	data_size	n_neurons	acuracia
0.15	0.1	0.5	10	0.32894736842105265
0.15	0.1	0.5	10	0.32894736842105265
0.15	0.1	0.5	10	0.34210526315789475
0.15	0.1	0.5	10	0.32894736842105265
0.15	0.1	0.5	10	0.32894736842105265
0.15	0.1	0.5	25	0.34210526315789475
0.15	0.1	0.5	25	0.32894736842105265
0.15	0.1	0.5	25	0.32894736842105265
0.15	0.1	0.5	25	0.32894736842105265
0.15	0.1	0.5	25	0.32894736842105265
0.15	0.1	0.5	50	0.34210526315789475
0.15	0.1	0.5	50	0.32894736842105265
0.15	0.1	0.5	50	0.32894736842105265
0.15	0.1	0.5	50	0.32894736842105265
0.15	0.1	0.5	50	0.32894736842105265
0.15	0.1	0.5	100	0.32894736842105265
0.15	0.1	0.5	100	0.32894736842105265
0.15	0.1	0.5	100	0.32894736842105265
0.15	0.1	0.5	100	0.32894736842105265
0.15	0.1	0.5	100	0.34210526315789475
0.15	0.1	0.5	250	0.32894736842105265
0.15	0.1	0.5	250	0.34210526315789475
0.15	0.1	0.5	250	0.32894736842105265
0.15	0.1	0.5	250	0.34210526315789475
0.15	0.1	0.5	250	0.32894736842105265
0.15	0.1	0.5	500	0.32894736842105265
0.15	0.1	0.5	500	0.34210526315789475
0.15	0.1	0.5	500	0.32894736842105265
0.15	0.1	0.5	500	0.32894736842105265
0.15	0.1	0.5	500	0.34210526315789475
0.15	0.1	0.6	10	0.32786885245901637
0.15	0.1	0.6	10	0.3442622950819672
0.15	0.1	0.6	10	0.32786885245901637
0.15	0.1	0.6	10	0.3442622950819672
0.15	0.1	0.6	10	0.32786885245901637
0.15	0.1	0.6	25	0.32786885245901637
0.15	0.1	0.6	25	0.32786885245901637
0.15	0.1	0.6	25	0.32786885245901637
0.15	0.1	0.6	25	0.32786885245901637
0.15	0.1	0.6	25	0.3442622950819672
0.15	0.1	0.6	50	0.32786885245901637
0.15	0.1	0.6	50	0.32786885245901637
0.15	0.1	0.6	50	0.3442622950819672
0.15	0.1	0.6	50	0.32786885245901637
0.15	0.1	0.6	50	0.32786885245901637
0.15	0.1	0.6	100	0.32786885245901637
0.15	0.1	0.6	100	0.3442622950819672
0.15	0.1	0.6	100	0.32786885245901637
0.15	0.1	0.6	100	0.32786885245901637
0.15	0.1	0.6	100	0.32786885245901637
0.15	0.1	0.6	250	0.3442622950819672
0.15	0.1	0.6	250	0.3442622950819672
0.15	0.1	0.6	250	0.3442622950819672
0.15	0.1	0.6	250	0.3442622950819672
0.15	0.1	0.6	250	0.32786885245901637
0.15	0.1	0.6	500	0.32786885245901637
0.15	0.1	0.6	500	0.3442622950819672
0.15	0.1	0.6	500	0.32786885245901637
0.15	0.1	0.6	500	0.3442622950819672
0.15	0.1	0.6	500	0.3442622950819672
0.15	0.1	0.7	10	0.34782608695652173
0.15	0.1	0.7	10	0.32608695652173914
0.15	0.1	0.7	10	0.34782608695652173
0.15	0.1	0.7	10	0.32608695652173914
0.15	0.1	0.7	10	0.32608695652173914
0.15	0.1	0.7	25	0.34782608695652173
0.15	0.1	0.7	25	0.34782608695652173
0.15	0.1	0.7	25	0.34782608695652173
0.15	0.1	0.7	25	0.32608695652173914
0.15	0.1	0.7	25	0.32608695652173914
0.15	0.1	0.7	50	0.32608695652173914
0.15	0.1	0.7	50	0.32608695652173914
0.15	0.1	0.7	50	0.34782608695652173
0.15	0.1	0.7	50	0.32608695652173914
0.15	0.1	0.7	50	0.32608695652173914
0.15	0.1	0.7	100	0.32608695652173914
0.15	0.1	0.7	100	0.32608695652173914
0.15	0.1	0.7	100	0.32608695652173914
0.15	0.1	0.7	100	0.32608695652173914
0.15	0.1	0.7	100	0.34782608695652173
0.15	0.1	0.7	250	0.32608695652173914
0.15	0.1	0.7	250	0.32608695652173914
0.15	0.1	0.7	250	0.32608695652173914
0.15	0.1	0.7	250	0.34782608695652173
0.15	0.1	0.7	250	0.34782608695652173
0.15	0.1	0.7	500	0.32608695652173914
0.15	0.1	0.7	500	0.32608695652173914
0.15	0.1	0.7	500	0.32608695652173914
0.15	0.1	0.7	500	0.32608695652173914
0.15	0.1	0.7	500	0.34782608695652173
0.15	0.1	0.8	10	0.3225806451612903
0.15	0.1	0.8	10	0.3225806451612903
0.15	0.1	0.8	10	0.3225806451612903
0.15	0.1	0.8	10	0.3548387096774194
0.15	0.1	0.8	10	0.3548387096774194
0.15	0.1	0.8	25	0.3225806451612903
0.15	0.1	0.8	25	0.3548387096774194
0.15	0.1	0.8	25	0.3548387096774194
0.15	0.1	0.8	25	0.3225806451612903
0.15	0.1	0.8	25	0.3225806451612903
0.15	0.1	0.8	50	0.3548387096774194
0.15	0.1	0.8	50	0.3548387096774194
0.15	0.1	0.8	50	0.3548387096774194
0.15	0.1	0.8	50	0.3548387096774194
0.15	0.1	0.8	50	0.3225806451612903
0.15	0.1	0.8	100	0.3225806451612903
0.15	0.1	0.8	100	0.3225806451612903
0.15	0.1	0.8	100	0.3225806451612903
0.15	0.1	0.8	100	0.3548387096774194
0.15	0.1	0.8	100	0.3548387096774194
0.15	0.1	0.8	250	0.3548387096774194
0.15	0.1	0.8	250	0.3225806451612903
0.15	0.1	0.8	250	0.3225806451612903
0.15	0.1	0.8	250	0.3548387096774194
0.15	0.1	0.8	250	0.3225806451612903
0.15	0.1	0.8	500	0.3225806451612903
0.15	0.1	0.8	500	0.3548387096774194
0.15	0.1	0.8	500	0.3225806451612903
0.15	0.1	0.8	500	0.3225806451612903
0.15	0.1	0.8	500	0.3548387096774194
0.15	0.1	0.9	10	0.375
0.15	0.1	0.9	10	0.375
0.15	0.1	0.9	10	0.3125
0.15	0.1	0.9	10	0.3125
0.15	0.1	0.9	10	0.3125
0.15	0.1	0.9	25	0.375
0.15	0.1	0.9	25	0.3125
0.15	0.1	0.9	25	0.375
0.15	0.1	0.9	25	0.3125
0.15	0.1	0.9	25	0.375
0.15	0.1	0.9	50	0.3125
0.15	0.1	0.9	50	0.3125
0.15	0.1	0.9	50	0.375
0.15	0.1	0.9	50	0.3125
0.15	0.1	0.9	50	0.375
0.15	0.1	0.9	100	0.375
0.15	0.1	0.9	100	0.3125
0.15	0.1	0.9	100	0.375
0.15	0.1	0.9	100	0.375
0.15	0.1	0.9	100	0.3125
0.15	0.1	0.9	250	0.375
0.15	0.1	0.9	250	0.3125
0.15	0.1	0.9	250	0.375
0.15	0.1	0.9	250	0.375
0.15	0.1	0.9	250	0.375
0.15	0.1	0.9	500	0.3125
0.15	0.1	0.9	500	0.3125
0.15	0.1	0.9	500	0.3125
0.15	0.1	0.9	500	0.3125
0.15	0.1	0.9	500	0.3125
0.15	0.25	0.5	10	0.32894736842105265
0.15	0.25	0.5	10	0.32894736842105265
0.15	0.25	0.5	10	0.34210526315789475
0.15	0.25	0.5	10	0.32894736842105265
0.15	0.25	0.5	10	0.32894736842105265
0.15	0.25	0.5	25	0.32894736842105265
0.15	0.25	0.5	25	0.32894736842105265
0.15	0.25	0.5	25	0.34210526315789475
0.15	0.25	0.5	25	0.32894736842105265
